S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHVN3|PACWEST VENTURES LTD|STOCK|A02872|CAN|CAD|CANHVN3|19980811|20020101
CANHVN3|PACIFIC & WESTN CREDIT CP NEW|STOCK|A02872|CAN|CAD|CANHVN3|20020102|20751231
CANHVO1|PIONEER NAT RES CO|CROSS_LIST|A03004|CAN|CAD|USAY8V1|19990112|20030105
CANHVP1|PLANET EXPL INC|STOCK|A63801|CAN|CAD|CANHVP1|19981006|20120411
CANHVP1|PLANET MINING EXP|STOCK|A63801|CAN|CAD|CANHVP1|20120412|20751231
CANHVQ1|PARAMAX RES LTD|STOCK|A56052|CAN|CAD|CANHVQ1|19980909|20130609
CANHVQ1|SABRE GRAPHITE CORP|STOCK|A56052|CAN|CAD|CANHVQ1|20130610|20751231
CANHVS1|PATRICIAN GOLD MINES LTD|STOCK|A43799|CAN|CAD|CANHVS1|19961231|20000309
CANHVS1|PATRICIAN CONS GOLD MINES LTD|STOCK|A43799|CAN|CAD|CANHVS1|20000310|20020527
CANHVS1|PATRICIAN DIAMONDS INC|STOCK|A43799|CAN|CAD|CANHVS1|20020528|20090101
CANHVS1|DIAMOND EXPLORATION INC|STOCK|A43799|CAN|CAD|CANHVS1|20090102|20091028
CANHVS1|DIAMOND INTL EXPL INC|STOCK|A43799|CAN|CAD|CANHVS1|20091029|20110313
CANHVS1|NORTHAVEN RESOURCES CORPORATION|STOCK|A43799|CAN|CAD|CANHVS1|20110314|20751231
CANHVT1|POLYMER SOLUTIONS INC|STOCK|A03033|CAN|CAD|CANHVT1|19961231|20040229
CANHVU1|PYRAMID ENERGY INC|STOCK|A70832|CAN|CAD|CANHVU1|19970429|20010531
CANHVV1|D C CORROSION CORP|STOCK|A56053|CAN|CAD|CANHVV1|19961231|19990609
CANHVV1|TOTAL TELCOM INC|STOCK|A56053|CAN|CAD|CANHVV1|19990610|20751231
CANHVW1|PYROIL RES INC|STOCK|A56054|CAN|CAD|CANHVW1|19970206|20000112
CANHVW1|JUMBO DEVELOPMENT CORP|STOCK|A56054|CAN|CAD|CANHVW1|20000113|20060622
CANHVW1|JUMBO PETROLEUM CORP|STOCK|A56054|CAN|CAD|CANHVW1|20060623|20090714
CANHVX1|PYNG TECHNOLOGIES CORP|STOCK|A03122|CAN|CAD|CANHVX1|19961231|20041013
CANHVX1|PYNG MEDICAL CORP|STOCK|A03122|CAN|CAD|CANHVX1|20041014|20751231
CANHVY1|PRIZE ENERGY INC|STOCK|A00654|CAN|CAD|CANHVY1|19961231|20000827
CANHVY1|CDN SUPERIOR ENERGY INC|STOCK|A00654|CAN|CAD|CANHVY1|20000828|20030130
CANHVY1|CANADIAN SUPERIOR ENERGY INC|STOCK|A00654|CAN|CAD|CANHVY1|20030131|20100606
CANHVY1|SONDE RES CORP|STOCK|A00654|CAN|CAD|CANHVY1|20100607|20751231
